CMDLINE C:\Users\pawel.drzyzga\Documents\KursStreamlit\kursstreamlit\Scripts\python.exe app.py
MEM 1.753906 1743711567.4869
MEM 6.843750 1743711567.5939
MEM 6.843750 1743711567.7040
MEM 6.843750 1743711567.8160
MEM 6.843750 1743711567.9270
MEM 6.843750 1743711568.0381
MEM 6.843750 1743711568.1478
MEM 6.843750 1743711568.2578
MEM 6.843750 1743711568.3695
MEM 6.843750 1743711568.4799
MEM 6.843750 1743711568.5899
MEM 6.843750 1743711568.7008
MEM 6.843750 1743711568.8126
MEM 6.843750 1743711568.9236
MEM 6.843750 1743711569.0353
MEM 6.843750 1743711569.1463
MEM 6.843750 1743711569.2583
MEM 6.843750 1743711569.3673
MEM 6.843750 1743711569.4784
MEM 6.843750 1743711569.5879
MEM 6.843750 1743711569.6979
MEM 6.843750 1743711569.8090
MEM 6.843750 1743711569.9189
MEM 6.843750 1743711570.0289
MEM 6.843750 1743711570.1389
MEM 6.843750 1743711570.2490
MEM 6.843750 1743711570.3593
MEM 6.843750 1743711570.4708
MEM 6.843750 1743711570.5819
MEM 6.843750 1743711570.6918
MEM 6.843750 1743711570.8008
MEM 6.843750 1743711570.9109
MEM 6.843750 1743711571.0219
MEM 6.843750 1743711571.1329
MEM 6.843750 1743711571.2440
MEM 6.843750 1743711571.3555
MEM 6.843750 1743711571.4661
MEM 6.843750 1743711571.5776
MEM 6.843750 1743711571.6863
MEM 6.843750 1743711571.7969
MEM 6.843750 1743711571.9068
MEM 6.843750 1743711572.0168
MEM 6.843750 1743711572.1258
MEM 6.843750 1743711572.2369
